Found enzyme: Carbonic anhydrase (4.2.1.1)
--- Substrate, Organism, UniProt ID, KM Value (mM) ---
Substrate: CO2, Organism: Tectona grandis, UniProt ID: , KM Value: 15.2
Substrate: CO2, Organism: Homo sapiens, UniProt ID: , KM Value: 0.31
Substrate: CO2, Organism: Homo sapiens, UniProt ID: , KM Value: 0.012
Substrate: CO2, Organism: Homo sapiens, UniProt ID: , KM Value: 0.013
Substrate: CO2, Organism: Homo sapiens, UniProt ID: , KM Value: 0.02
Substrate: CO2, Organism: Homo sapiens, UniProt ID: , KM Value: 1.0
Substrate: CO2, Organism: Homo sapiens, UniProt ID: , KM Value: 5.3
Substrate: CO2, Organism: Homo sapiens, UniProt ID: , KM Value: 7.1
Substrate: CO2, Organism: Homo sapiens, UniProt ID: , KM Value: 2.3
Substrate: CO2, Organism: Homo sapiens, UniProt ID: , KM Value: 2.8
Substrate: CO2, Organism: Homo sapiens, UniProt ID: , KM Value: 14.0
Substrate: CO2, Organism: Homo sapiens, UniProt ID: , KM Value: 3.9
Substrate: CO2, Organism: Homo sapiens, UniProt ID: , KM Value: 2.6
Substrate: CO2, Organism: Homo sapiens, UniProt ID: , KM Value: 69.0
Substrate: CO2, Organism: Homo sapiens, UniProt ID: , KM Value: 11.9
Substrate: CO2, Organism: Homo sapiens, UniProt ID: , KM Value: 6.6
Substrate: CO2, Organism: Homo sapiens, UniProt ID: , KM Value: 9.3
Substrate: CO2, Organism: Homo sapiens, UniProt ID: , KM Value: 46.0
Substrate: CO2, Organism: Homo sapiens, UniProt ID: , KM Value: 52.0
Substrate: CO2, Organism: Homo sapiens, UniProt ID: , KM Value: 9.7
Substrate: CO2, Organism: Homo sapiens, UniProt ID: , KM Value: 13.4
Substrate: CO2, Organism: Homo sapiens, UniProt ID: , KM Value: 13.8
Substrate: CO2, Organism: Homo sapiens, UniProt ID: , KM Value: 6.9
Substrate: CO2, Organism: Bos taurus, UniProt ID: , KM Value: 9.0
Substrate: CO2, Organism: Homo sapiens, UniProt ID: , KM Value: 9.0
Substrate: CO2, Organism: Rattus norvegicus, UniProt ID: , KM Value: 9.0
Substrate: CO2, Organism: Populus tremula, UniProt ID: , KM Value: 9.0
Substrate: CO2, Organism: Cryptococcus neoformans, UniProt ID: , KM Value: 9.0
Substrate: CO2, Organism: Homo sapiens, UniProt ID: , KM Value: 4.0
Substrate: CO2, Organism: Astrosclera willeyana, UniProt ID: , KM Value: 4.0
Substrate: CO2, Organism: Homo sapiens, UniProt ID: , KM Value: 2.4
Substrate: CO2, Organism: Oryctolagus cuniculus, UniProt ID: , KM Value: 2.4
Substrate: CO2, Organism: Homo sapiens, UniProt ID: , KM Value: 3.6
Substrate: CO2, Organism: Oryctolagus cuniculus, UniProt ID: , KM Value: 3.6
Substrate: CO2, Organism: Methanothermobacter thermautotrophicus, UniProt ID: , KM Value: 3.6
Substrate: CO2, Organism: Homo sapiens, UniProt ID: , KM Value: 3.5
Substrate: CO2, Organism: Methanothermobacter thermautotrophicus, UniProt ID: , KM Value: 3.5
Substrate: CO2, Organism: Homo sapiens, UniProt ID: , KM Value: 9.2
Substrate: CO2, Organism: Methanothermobacter thermautotrophicus, UniProt ID: , KM Value: 9.2
Substrate: CO2, Organism: Homo sapiens, UniProt ID: , KM Value: 9.4
Substrate: CO2, Organism: Methanosarcina thermophila, UniProt ID: , KM Value: 9.4
Substrate: CO2, Organism: Solanum tuberosum, UniProt ID: , KM Value: 9.4
Substrate: CO2, Organism: Petroselinum crispum, UniProt ID: , KM Value: 8.0
Substrate: CO2, Organism: Homo sapiens, UniProt ID: , KM Value: 8.0
Substrate: CO2, Organism: Homo sapiens, UniProt ID: , KM Value: 7.5
Substrate: CO2, Organism: Entamoeba histolytica, UniProt ID: , KM Value: 7.5
Substrate: CO2, Organism: Homo sapiens, UniProt ID: , KM Value: 8.8
Substrate: CO2, Organism: Methanosarcina thermophila, UniProt ID: , KM Value: 8.8
Substrate: CO2, Organism: Populus tremula, UniProt ID: , KM Value: 3.0
Substrate: CO2, Organism: Homo sapiens, UniProt ID: , KM Value: 3.0
Substrate: CO2, Organism: Methanosarcina thermophila, UniProt ID: , KM Value: 3.0
